Column1.country,Column1.square.southwest.lng,Column1.square.southwest.lat,Column1.square.northeast.lng,Column1.square.northeast.lat,Column1.nearestPlace,Column1.coordinates.lng,Column1.coordinates.lat,Column1.words,Column1.language,Column1.map
ZZ,88.685769,76.031668,88.68588,76.031695,,88.685824,76.031681,cannonball.parrot.turkey,en,https://w3w.co/cannonball.parrot.turkey
ZZ,143.298272,22.093952,143.298301,22.093979,,143.298286,22.093966,cannonball.rowboat.chest,en,https://w3w.co/cannonball.rowboat.chest
ZZ,-22.770505,34.898798,-22.770472,34.898825,,-22.770488,34.898811,cannonball.rowboat.chickens,en,https://w3w.co/cannonball.rowboat.chickens
ZZ,-81.700714,16.444885,-81.700686,16.444912,"Iralaya, Gracias a Dios",-81.7007,16.444898,cannonball.rowboat.diet,en,https://w3w.co/cannonball.rowboat.diet
ZZ,136.687179,14.724612,136.687207,14.724639,,136.687193,14.724625,cannonball.rowboat.misfits,en,https://w3w.co/cannonball.rowboat.misfits
ZZ,-67.10923,22.059185,-67.1092,22.059212,,-67.109215,22.059198,cannonball.rowboat.parrot,en,https://w3w.co/cannonball.rowboat.parrot
ZZ,-21.740333,33.246442,-21.7403,33.246469,,-21.740316,33.246456,cannonball.rowboat.shady,en,https://w3w.co/cannonball.rowboat.shady
ZZ,-88.568396,23.480191,-88.568366,23.480218,"R??o Lagartos, Yucat??n",-88.568381,23.480204,cannonball.rowboat.skulls,en,https://w3w.co/cannonball.rowboat.skulls
ZZ,155.867733,27.054738,155.867763,27.054765,,155.867748,27.054752,cannonball.rowboat.turkey,en,https://w3w.co/cannonball.rowboat.turkey
ZZ,-12.709772,55.769782,-12.709724,55.769809,"Belmullet, Connaught",-12.709748,55.769796,cannonball.shady.chest,en,https://w3w.co/cannonball.shady.chest
ZZ,155.827987,81.575167,155.828171,81.575194,,155.828079,81.575181,cannonball.shady.chickens,en,https://w3w.co/cannonball.shady.chickens
ZZ,-54.331156,43.05808,-54.331119,43.058107,,-54.331137,43.058093,cannonball.shady.diet,en,https://w3w.co/cannonball.shady.diet
ZZ,151.366769,58.152706,151.36682,58.152733,"Ola, Magadan Oblast",151.366794,58.152719,cannonball.shady.misfits,en,https://w3w.co/cannonball.shady.misfits
ZZ,141.60925,49.671248,141.609292,49.671275,"Boshnyakovo, Sakhalin Oblast",141.609271,49.671262,cannonball.shady.parrot,en,https://w3w.co/cannonball.shady.parrot
ZZ,-26.117247,21.762317,-26.117218,21.762344,,-26.117233,21.76233,cannonball.shady.rowboat,en,https://w3w.co/cannonball.shady.rowboat
ZZ,-73.334387,37.499326,-73.334353,37.499353,"Ocean City, Maryland",-73.33437,37.49934,cannonball.shady.skulls,en,https://w3w.co/cannonball.shady.skulls
ZZ,-65.302548,84.139042,-65.302282,84.139069,"Alert, Nunavut",-65.302415,84.139055,cannonball.shady.turkey,en,https://w3w.co/cannonball.shady.turkey
ZZ,-29.13425,48.81188,-29.134209,48.811907,,-29.13423,48.811894,cannonball.skulls.chest,en,https://w3w.co/cannonball.skulls.chest
ZZ,154.824557,72.283932,154.824645,72.283959,,154.824601,72.283945,cannonball.skulls.chickens,en,https://w3w.co/cannonball.skulls.chickens
ZZ,-15.005765,38.641845,-15.00573,38.641871,,-15.005748,38.641858,cannonball.skulls.diet,en,https://w3w.co/cannonball.skulls.diet
ZZ,-171.155501,50.944804,-171.155459,50.944831,,-171.15548,50.944817,cannonball.skulls.misfits,en,https://w3w.co/cannonball.skulls.misfits
ZZ,138.070317,43.880013,138.070355,43.88004,"Plastun, Primorsky Krai",138.070336,43.880026,cannonball.skulls.parrot,en,https://w3w.co/cannonball.skulls.parrot
ZZ,-37.028493,36.458818,-37.028459,36.458845,,-37.028476,36.458832,cannonball.skulls.rowboat,en,https://w3w.co/cannonball.skulls.rowboat
ZZ,-177.02758,56.927663,-177.027531,56.92769,,-177.027555,56.927676,cannonball.skulls.shady,en,https://w3w.co/cannonball.skulls.shady
GL,-48.056992,73.639473,-48.056897,73.6395,"Upernavik, Avannaata",-48.056944,73.639486,cannonball.skulls.turkey,en,https://w3w.co/cannonball.skulls.turkey
ZZ,173.067931,70.57417,173.068012,70.574197,"Pevek, Chukotka Autonomous Okrug",173.067972,70.574183,cannonball.turkey.chest,en,https://w3w.co/cannonball.turkey.chest
ZZ,175.236898,42.021965,175.236934,42.021992,,175.236916,42.021979,cannonball.turkey.chickens,en,https://w3w.co/cannonball.turkey.chickens
ZZ,-13.703077,50.904134,-13.703034,50.904161,"Cahersiveen, Munster",-13.703056,50.904148,cannonball.turkey.diet,en,https://w3w.co/cannonball.turkey.diet
ZZ,-69.885488,73.415427,-69.885393,73.415454,"Pond Inlet, Nunavut",-69.88544,73.41544,cannonball.turkey.misfits,en,https://w3w.co/cannonball.turkey.misfits
ZZ,20.443599,59.267303,20.443652,59.26733,"K??kar, ??lands sk??rg??rd",20.443626,59.267316,cannonball.turkey.parrot,en,https://w3w.co/cannonball.turkey.parrot
ZZ,-137.34103,16.987279,-137.341001,16.987306,,-137.341015,16.987292,cannonball.turkey.rowboat,en,https://w3w.co/cannonball.turkey.rowboat
GL,-31.662782,81.189953,-31.662606,81.18998,Northeast Greenland National Park,-31.662694,81.189966,cannonball.turkey.shady,en,https://w3w.co/cannonball.turkey.shady
ZZ,156.745626,43.345381,156.745663,43.345408,,156.745644,43.345394,cannonball.turkey.skulls,en,https://w3w.co/cannonball.turkey.skulls
ZZ,173.858943,42.788513,173.85898,42.78854,,173.858962,42.788527,chest.cannonball.chickens,en,https://w3w.co/chest.cannonball.chickens
ZZ,-160.311406,51.962349,-160.311362,51.962376,,-160.311384,51.962363,chest.cannonball.diet,en,https://w3w.co/chest.cannonball.diet
ZZ,67.399492,74.598642,67.399593,74.598669,"Belushya Guba, Arkhangelsk Oblast",67.399543,74.598655,chest.cannonball.misfits,en,https://w3w.co/chest.cannonball.misfits
ZZ,-87.939319,60.700517,-87.939264,60.700544,,-87.939291,60.700531,chest.cannonball.parrot,en,https://w3w.co/chest.cannonball.parrot
ZZ,-31.496447,26.389581,-31.496417,26.389608,,-31.496432,26.389594,chest.cannonball.rowboat,en,https://w3w.co/chest.cannonball.rowboat
ZZ,-114.275862,83.539834,-114.275623,83.539861,,-114.275742,83.539847,chest.cannonball.shady,en,https://w3w.co/chest.cannonball.shady
ZZ,-51.740344,44.153595,-51.740307,44.153622,,-51.740325,44.153609,chest.cannonball.skulls,en,https://w3w.co/chest.cannonball.skulls
ZZ,-153.364015,43.602388,-153.363978,43.602415,,-153.363997,43.602401,chest.cannonball.turkey,en,https://w3w.co/chest.cannonball.turkey
ZZ,-168.930312,51.048081,-168.930269,51.048108,,-168.930291,51.048095,chest.chickens.cannonball,en,https://w3w.co/chest.chickens.cannonball
TW,121.41202,25.111012,121.41205,25.111039,"Banqiao, Taipei",121.412035,25.111026,chest.chickens.diet,en,https://w3w.co/chest.chickens.diet
RU,53.798163,56.467092,53.798212,56.467119,"Sarapul, Udmurt Republic",53.798188,56.467106,chest.chickens.misfits,en,https://w3w.co/chest.chickens.misfits
CN,118.363566,39.722052,118.363601,39.722078,"Guye, Hebei",118.363584,39.722065,chest.chickens.parrot,en,https://w3w.co/chest.chickens.parrot
ZZ,-123.872447,26.160953,-123.872416,26.16098,,-123.872432,26.160966,chest.chickens.rowboat,en,https://w3w.co/chest.chickens.rowboat
FR,2.179282,48.973938,2.179323,48.973965,"La Frette-sur-Seine, Val d'Oise",2.179302,48.973952,chest.chickens.shady,en,https://w3w.co/chest.chickens.shady
CA,-77.898218,46.871362,-77.898179,46.871389,"Mattawa, Ontario",-77.898199,46.871375,chest.chickens.skulls,en,https://w3w.co/chest.chickens.skulls
BR,-51.37953,-20.888152,-51.379501,-20.888125,"Andradina, S??o Paulo",-51.379516,-20.888139,chest.chickens.turkey,en,https://w3w.co/chest.chickens.turkey
GL,-47.12568,64.138583,-47.125618,64.13861,"Nuuk, Sermersooq",-47.125649,64.138597,chest.diet.cannonball,en,https://w3w.co/chest.diet.cannonball
CN,119.218733,36.780994,119.218767,36.781021,"Hanting, Shandong",119.21875,36.781007,chest.diet.chickens,en,https://w3w.co/chest.diet.chickens
RU,20.100177,54.667826,20.100224,54.667853,"Svetlyy, Kaliningrad Oblast",20.100201,54.667839,chest.diet.misfits,en,https://w3w.co/chest.diet.misfits
CN,115.464065,38.214451,115.464099,38.214478,"Xinji, Hebei",115.464082,38.214465,chest.diet.parrot,en,https://w3w.co/chest.diet.parrot
ZZ,122.265154,30.753126,122.265186,30.753153,"Zhoushan, Zhejiang",122.26517,30.75314,chest.diet.rowboat,en,https://w3w.co/chest.diet.rowboat
DK,9.465762,55.508005,9.46581,55.508031,"Kolding, South Denmark",9.465786,55.508018,chest.diet.shady,en,https://w3w.co/chest.diet.shady
AU,139.691219,-31.20324,139.691251,-31.203213,"Broken Hill, New South Wales",139.691235,-31.203226,chest.diet.skulls,en,https://w3w.co/chest.diet.skulls
BR,-49.212744,-25.270752,-49.212715,-25.270726,"Colombo, Paran??",-49.212729,-25.270739,chest.diet.turkey,en,https://w3w.co/chest.diet.turkey
ZZ,-46.433319,39.292287,-46.433285,39.292313,,-46.433302,39.2923,chest.misfits.cannonball,en,https://w3w.co/chest.misfits.cannonball
FI,26.911356,60.460705,26.91141,60.460732,"Kotka, Kymenlaakso",26.911383,60.460719,chest.misfits.chickens,en,https://w3w.co/chest.misfits.chickens
CN,124.652249,44.383786,124.652287,44.383813,"Changling, Jilin",124.652268,44.3838,chest.misfits.diet,en,https://w3w.co/chest.misfits.diet
FR,2.934184,42.652814,2.93422,42.652841,"Saleilles, Pyr??n??es-Orientales",2.934202,42.652827,chest.misfits.parrot,en,https://w3w.co/chest.misfits.parrot
ZZ,-156.550116,28.282854,-156.550086,28.282881,,-156.550101,28.282867,chest.misfits.rowboat,en,https://w3w.co/chest.misfits.rowboat
CL,-71.466371,-33.001024,-71.466339,-33.000997,"Quilpu??, Valpara??so",-71.466355,-33.001011,chest.misfits.shady,en,https://w3w.co/chest.misfits.shady
AU,139.970032,-32.737171,139.970064,-32.737144,"Peterborough, South Australia",139.970048,-32.737158,chest.misfits.skulls,en,https://w3w.co/chest.misfits.skulls
IR,52.580479,29.636886,52.58051,29.636912,"Shiraz, Fars",52.580495,29.636899,chest.misfits.turkey,en,https://w3w.co/chest.misfits.turkey
ZZ,-6.836251,76.626752,-6.836134,76.626779,,-6.836193,76.626765,chest.parrot.cannonball,en,https://w3w.co/chest.parrot.cannonball
BR,-52.793381,-28.326003,-52.79335,-28.325976,"Carazinho, Rio Grande do Sul",-52.793366,-28.325989,chest.parrot.chickens,en,https://w3w.co/chest.parrot.chickens
IT,12.749363,43.961136,12.7494,43.961163,"Gabicce Mare, The Marches",12.749382,43.96115,chest.parrot.diet,en,https://w3w.co/chest.parrot.diet
BR,-42.337613,-21.151493,-42.337584,-21.151466,"Muria??, Minas Gerais",-42.337598,-21.15148,chest.parrot.misfits,en,https://w3w.co/chest.parrot.misfits
ZZ,-107.092673,15.404673,-107.092645,15.4047,,-107.092659,15.404687,chest.parrot.rowboat,en,https://w3w.co/chest.parrot.rowboat
IR,59.468642,36.114597,59.468675,36.114624,"Mashhad, Razavi Khorasan",59.468658,36.11461,chest.parrot.shady,en,https://w3w.co/chest.parrot.shady
CA,-69.579109,55.802717,-69.579061,55.802744,"Schefferville, Quebec",-69.579085,55.80273,chest.parrot.skulls,en,https://w3w.co/chest.parrot.skulls
GR,22.97714,40.699898,22.977176,40.699925,"F??liro, Central Macedonia",22.977158,40.699911,chest.parrot.turkey,en,https://w3w.co/chest.parrot.turkey
ZZ,168.912292,25.048566,168.912321,25.048593,,168.912307,25.04858,chest.rowboat.cannonball,en,https://w3w.co/chest.rowboat.cannonball
ZZ,-108.385246,24.819939,-108.385216,24.819966,"Costa Azul, Sinaloa",-108.385231,24.819952,chest.rowboat.chickens,en,https://w3w.co/chest.rowboat.chickens
ZZ,-48.125402,29.245445,-48.125371,29.245472,,-48.125386,29.245459,chest.rowboat.diet,en,https://w3w.co/chest.rowboat.diet
ZZ,-129.901831,26.858506,-129.901801,26.858533,,-129.901816,26.858519,chest.rowboat.misfits,en,https://w3w.co/chest.rowboat.misfits
ZZ,-173.531772,36.776412,-173.531738,36.776439,,-173.531755,36.776426,chest.rowboat.parrot,en,https://w3w.co/chest.rowboat.parrot
ZZ,159.436031,23.417583,159.43606,23.41761,,159.436045,23.417596,chest.rowboat.shady,en,https://w3w.co/chest.rowboat.shady
ZZ,-62.123545,15.526331,-62.123517,15.526358,"Petites Anses, Guadeloupe",-62.123531,15.526345,chest.rowboat.skulls,en,https://w3w.co/chest.rowboat.skulls
ZZ,-129.795305,18.434212,-129.795276,18.434239,,-129.79529,18.434225,chest.rowboat.turkey,en,https://w3w.co/chest.rowboat.turkey
